UnitID,OwningHerbariumAcronym,PrepCode,DateCreated,dateValidated,Genus on label,Species on label,Author,General Comments,country,dateIdentified,Collection Date,Cultivated,Cultivated Date,Cultivated by,habitat,identificationRemarks,identifiedBy,Filed-under country,Collected by,Collected by_1,Collected by_2,Collected by_3,recordNumber,Filed-under Name,Family,Sheet Number,stateProvince,transcriberNotes,verbatimElevation,Altitude,Altitude_max,Altitude_unit,verbatimLatitude,LatDeg,LatMin,LatSec,LatOrient,verbatimLocality,verbatimLongitude,LongDeg2,LongMin,LongSec,LongOrient,vernacularName
K000468300,K,Sheet,05/02/2018,07-Feb-2018 21:44:18,Striga,hermonthica,(Delile) Benth.,,Tanzania,2007,2006-05-22,false,,,"Swampy grassland with standing water, large populations of Hygrophila auriculata.",Perennial herb; flowers salmon pink.,"Vollesen, K.",Tanzania,"Bidgood, S.","Hoenselaar, K.","Leliyo, G.","Vollesen, K.",6125,Striga hermonthica Benth.,,,Tabora,,1100 Metres,1100,,Metres,5°13'S,5,13,,S,68 km on Tabora-Itigi road,33°20'E,33,20,,E,
K000483406,K,Sheet,05/02/2018,07-Feb-2018 23:32:48,Striga,hermonthica,(Delile) Benth.,,Mali,,1986-09-28,false,,,"Parasite du Sorgho. Sur sol gravillonneux, latéritique.",,,Mali,"Raynal-Roques, A.",,,,22200,Striga hermonthica Benth.,,,Sikasso,,,,,,,,,,,"Sikasso, cultures vivrières à la limite N de la ville.",,,,,,
K000483407,K,Sheet,05/02/2018,07-Feb-2018 23:31:34,Striga,hermonthica,(Delile) Benth.,,Mali,,1986-09-27,false,,,Parasite du Mil (Pennisetum) cultivé.,"Herbe en touffes dressées. Fleurs blanc pur, y compris les boutons. Dans la population, on trouve toutes les couleurs, du rose vif au blanc .",,,"Raynal-Roques, A.",,,,22194,Striga hermonthica Benth.,,,Sikasso,,,,,,,,,,,"Sékésona, a 7 km de Du Ouéléssébougou, sur la route de Bougouni (env . 90 km au S de Bamako).",,,,,,
K000483408,K,Sheet,15/02/2018,,Striga,hermonthica,(Delile) Benth.,,Mali,,1988-09-29,false,,,"fields at S entrance to town, on sorghum, parasitic",variable flowers,,Mali,"Raynal-Roques, Aline",,,,22526,Striga hermonthica Benth.,,,Koulikoro,,,,,,12°N,12,,,,Kati,8°W,8,,,W,
K000483409,K,Sheet,15/02/2018,,Striga,hermonthica,(Delile) Benth.,,Mali,1993,1988-11-12,false,,,,,"Bidgood, Sally",Mali,"Yeates, M.",,,,88/Mali/8,Striga hermonthica Benth.,,,Kayes,,,,,,,,,,,"Yélimané Cercle, Dionkoulane fields",,,,,,
K000483410,K,Sheet,15/02/2018,,Striga,hermonthica,(Delile) Benth.,,Mali,,1988-10-02,false,,,"cultures sur sable, parasite sur mil cultivé",,,Mali,"Raynal-Roques, Aline",,,,22573,Striga hermonthica Benth.,,,Ségou,,,,,,14°N,14,,,,7 km SE of Diabaly,6°W,6,,,W,
K000483411,K,Sheet,15/02/2018,,Striga,hermonthica,(Delile) Benth.,,Mali,,1969-10-24,false,,,"rough ground on edge of cultivation, parasitic on Sorghum",flowers bright pink,,Mali,"Hepper, F.N.",,,,3759,Striga hermonthica Benth.,,,Koulikoro,,,,,,,,,,,"Kati, 15 km NW of Bamako",,,,,,
K000483412,K,Sheet,15/02/2018,,Striga,hermonthica,(Delile) Benth.,,Mali,1956-06-19,1929-11,false,,,ancien champ,red flowers,"Hepper, F.N.",Mali,Waterlot,,,,1451,Striga hermonthica Benth.,,,Bamako,not sure if Waterlot is the collector,,,,,,,,,,Bamako,,,,,,
K000483413,K,Sheet,18/02/2018,,Striga,hermonthica,(Delile) Benth.,Striga hermonthica (Del.) Benth. ;Trans-African Hovercraft Expedition 1969,Mali,1969,1969-10-24,false,,,Rough ground on edge of cultivation.,"Parasitic on Sorghum, flowers bright pink","Hepper, F.N.",Mali,"Hepper, F.N.",,,,3759,Striga hermonthica Benth.,,,Koulikoro,,,,,,,,,,,KATI 15 km. north west of BAMAKO,,,,,,
K000483414,K,Sheet,18/02/2018,,Striga,hermonthica,(Delile) Benth.,Striga hermonthica Benth.,Mali,1986,1986-09-29,false,,,,Parasite sur le Mil (Pennisetum). Cultures très pauvres.,"Raynal-Roques, Aline",Mali,"Raynal-Roques, Aline",,,,22221,Striga hermonthica Benth.,,,Ségou,,,,,,,,,,,"Yangasso, à 10 km à l'W du village, sur la route Bla-San (env. 65 km à l'W de San)",,,,,,
