lat,lon,locality,mill,sorg,maiz,mil.p,sorg.p,maiz.p
12.73333333,34.15,AbuNaama,0,1,0,0,1,0
14.698908,-16.456983,Bambey,8,0,0,1,0,0
9.081794,6.005702,Bida,0,1,0,0,1,0
0.458835,34.10946,Busia,0,3,4,0,0.428571429,0.571428571
11.164901,-4.305229,FarakoBa,1,3,0,0.25,0.75,0
10.282907,11.170659,Gombe,0,3,0,0,1,0
11.077483,13.695827,Gwoza,2,0,0,1,0,0
12.461239,-1.552899,Kamboinse,3,10,0,0.23076923,0.76923011,0
12.149681,39.63702,Kobo,0,0,1,0,0,1
12.614931,-7.956554,Mintimbougou,2,13,0,0.133333333,0.866666667,0
9.2894,5.056659,Mokwa,1,5,1,0.142857143,0.714285714,0.142857143
13.16666667,30.23333333,Obeid,2,1,0,0.666666667,0.333333333,0
9.40079,-0.8393,Tamale,0,0,1,0,0,1
14.383395,33.538424,WadMedani,1,4,2,0.142857143,0.571428571,0.285714286
9.44272,-0.00991,Yendi,1,0,0,1,0,0
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,\,,,
