"locality","lon","lat","emergence","host","host.gen","radius","ENM_avz_sd","ENM_avm_sd","ENM_avs_sd"
"AbuNaama",34.15,12.73333333,0.619298246,"sorghum","IS-5603",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.294736842,"sorghum","SRN-4841",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.877192982,"sorghum","N-13",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.745614035,"sorghum","CK-60B",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,1,"sorghum","1202B",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.961403509,"sorghum","2219B",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.145614035,"millet","B-282",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.180701754,"millet","Ex-Bomu",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.198245614,"millet","J-104",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.136842105,"millet","D2-Comp",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.452631579,"millet","CIVT-II",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.171929825,"maize","D-771",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.114035088,"maize","Diara",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.133333333,"maize","Syn-B23",50000,0.146490903080103,0.172218357177097,0.114440553613005
"AbuNaama",34.15,12.73333333,0.157894737,"maize","L-4",50000,0.146490903080103,0.172218357177097,0.114440553613005
"Andre",4.392543,11.901889,0.3125,"maize","8322-13",50000,0.147399041374922,0.0675660568080295,0.0590496920988879
"Andre",4.392543,11.901889,0.270833333,"maize","8425-8",50000,0.147399041374922,0.0675660568080295,0.0590496920988879
"Andre",4.392543,11.901889,1,"maize","8338-1",50000,0.147399041374922,0.0675660568080295,0.0590496920988879
"Andre",4.392543,11.901889,0.774305556,"maize","8321-21",50000,0.147399041374922,0.0675660568080295,0.0590496920988879
"Andre",4.392543,11.901889,0.336805556,"sorghum","KSY-15",50000,0.147399041374922,0.0675660568080295,0.0590496920988879
"Andre",4.392543,11.901889,0.434027778,"sorghum","SRN-4841",50000,0.147399041374922,0.0675660568080295,0.0590496920988879
"Andre",4.392543,11.901889,0.017361111,"millet","SE302",50000,0.147399041374922,0.0675660568080295,0.0590496920988879
"Andre",4.392543,11.901889,0.027777778,"millet","SE2124",50000,0.147399041374922,0.0675660568080295,0.0590496920988879
"Bakura",5.871866,12.705986,0.872093023,"maize","8322-13",50000,0.146154194367288,0.154302968559726,0.117361521661204
"Bakura",5.871866,12.705986,0.970930233,"maize","8425-8",50000,0.146154194367288,0.154302968559726,0.117361521661204
"Bakura",5.871866,12.705986,0.941860465,"maize","8338-1",50000,0.146154194367288,0.154302968559726,0.117361521661204
"Bakura",5.871866,12.705986,1,"maize","8321-21",50000,0.146154194367288,0.154302968559726,0.117361521661204
"Bakura",5.871866,12.705986,0.88372093,"sorghum","KSY-15",50000,0.146154194367288,0.154302968559726,0.117361521661204
"Bakura",5.871866,12.705986,0.534883721,"sorghum","SRN-4841",50000,0.146154194367288,0.154302968559726,0.117361521661204
"Bakura",5.871866,12.705986,0.813953488,"millet","SE302",50000,0.146154194367288,0.154302968559726,0.117361521661204
"Bakura",5.871866,12.705986,0.784883721,"millet","SE2124",50000,0.146154194367288,0.154302968559726,0.117361521661204
"Bambey",-16.456983,14.698908,0.056156156,"sorghum","IS-2652",50000,0.136670992492255,0.140184995287395,0.231575198416557
"Bambey",-16.456983,14.698908,0.011111111,"sorghum","IS-3469",50000,0.136670992492255,0.140184995287395,0.231575198416557
"Bambey",-16.456983,14.698908,0.36036036,"sorghum","IS-9289",50000,0.136670992492255,0.140184995287395,0.231575198416557
"Bambey",-16.456983,14.698908,0.144144144,"sorghum","DFF-2123",50000,0.136670992492255,0.140184995287395,0.231575198416557
"Bambey",-16.456983,14.698908,0.858858859,"millet","Ex-Tukur",50000,0.136670992492255,0.140184995287395,0.231575198416557
"Bambey",-16.456983,14.698908,1,"millet","Ex-Mokwa",50000,0.136670992492255,0.140184995287395,0.231575198416557
"Bambey",-16.456983,14.698908,0.115015015,"maize","NigCompB",50000,0.136670992492255,0.140184995287395,0.231575198416557
"Bambey",-16.456983,14.698908,0.047447447,"maize","BiuYellowXC-10",50000,0.136670992492255,0.140184995287395,0.231575198416557
"Bida",6.005702,9.081794,0.492424242,"maize","8322-13",50000,0.150781459874493,0.114273337365632,0.112947435225903
"Bida",6.005702,9.081794,1,"maize","8425-8",50000,0.150781459874493,0.114273337365632,0.112947435225903
"Bida",6.005702,9.081794,0.590909091,"maize","8338-1",50000,0.150781459874493,0.114273337365632,0.112947435225903
"Bida",6.005702,9.081794,0.704545455,"maize","8321-21",50000,0.150781459874493,0.114273337365632,0.112947435225903
"Bida",6.005702,9.081794,0.439393939,"sorghum","KSY-15",50000,0.150781459874493,0.114273337365632,0.112947435225903
"Bida",6.005702,9.081794,0.340909091,"sorghum","SRN-4841",50000,0.150781459874493,0.114273337365632,0.112947435225903
"Bida",6.005702,9.081794,0,"millet","SE302",50000,0.150781459874493,0.114273337365632,0.112947435225903
"Bida",6.005702,9.081794,0,"millet","SE2124",50000,0.150781459874493,0.114273337365632,0.112947435225903
"Busia",34.10946,0.458835,0.52240566,"sorghum","IS-5603",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.375,"sorghum","SRN-4841",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.377358491,"sorghum","N-13",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.503537736,"sorghum","CK-60B",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.9375,"sorghum","1202B",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.666273585,"sorghum","2219B",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.071933962,"millet","B-282",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.071933962,"millet","Ex-Bomu",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.108490566,"millet","J-104",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.071933962,"millet","D2-Comp",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.071933962,"millet","CIVT-II",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.431603774,"maize","D-771",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,1,"maize","Diara",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.599056604,"maize","Syn-B23",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Busia",34.10946,0.458835,0.794811321,"maize","L-4",50000,0.12138209182442,0.15310260648624,0.107247263760714
"Damaturu",11.964497,11.74704,0.85,"maize","8322-13",50000,0.112502007667781,0.151708746370039,0.106238992445146
"Damaturu",11.964497,11.74704,0.85,"maize","8425-8",50000,0.112502007667781,0.151708746370039,0.106238992445146
"Damaturu",11.964497,11.74704,1,"maize","8338-1",50000,0.112502007667781,0.151708746370039,0.106238992445146
"Damaturu",11.964497,11.74704,0.727272727,"maize","8321-21",50000,0.112502007667781,0.151708746370039,0.106238992445146
"Damaturu",11.964497,11.74704,0.240909091,"sorghum","KSY-15",50000,0.112502007667781,0.151708746370039,0.106238992445146
"Damaturu",11.964497,11.74704,0.5,"sorghum","SRN-4841",50000,0.112502007667781,0.151708746370039,0.106238992445146
"Damaturu",11.964497,11.74704,0.65,"millet","SE302",50000,0.112502007667781,0.151708746370039,0.106238992445146
"Damaturu",11.964497,11.74704,0.445454545,"millet","SE2124",50000,0.112502007667781,0.151708746370039,0.106238992445146
"FarakoBa",-4.305229,11.164901,0.894576012,"sorghum","IS-5603",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.179526356,"sorghum","SRN-4841",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.239877769,"sorghum","N-13",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,0.888464477,"sorghum","CK-60B",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
"FarakoBa",-4.305229,11.164901,1,"sorghum","1202B",50000,0.118190172673178,0.0609938796398314,0.0697169718172381
