"","locality","emergence","host","host.gen","lon","lat","ENM_a_s50km","ENM_a_m50km","ENM_a_z50km"
"1","AbuNaama",0.619298246,"sorghum","IS-5603",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"2","AbuNaama",0.294736842,"sorghum","SRN-4841",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"3","AbuNaama",0.877192982,"sorghum","N-13",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"4","AbuNaama",0.745614035,"sorghum","CK-60B",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"5","AbuNaama",1,"sorghum","1202B",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"6","AbuNaama",0.961403509,"sorghum","2219B",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"7","AbuNaama",0.145614035,"millet","B-282",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"8","AbuNaama",0.180701754,"millet","Ex-Bomu",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"9","AbuNaama",0.198245614,"millet","J-104",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"10","AbuNaama",0.136842105,"millet","D2-Comp",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"11","AbuNaama",0.452631579,"millet","CIVT-II",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"12","AbuNaama",0.171929825,"maize","D-771",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"13","AbuNaama",0.114035088,"maize","Diara",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"14","AbuNaama",0.133333333,"maize","Syn-B23",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"15","AbuNaama",0.157894737,"maize","L-4",34.15,12.73333333,-0.301802756,0.314337731,-0.304061611
"16","Andre",0.3125,"maize","8322-13",4.392543,11.901889,0.003771301,0.026500334,0.359911118
"17","Andre",0.270833333,"maize","8425-8",4.392543,11.901889,0.003771301,0.026500334,0.359911118
"18","Andre",1,"maize","8338-1",4.392543,11.901889,0.003771301,0.026500334,0.359911118
"19","Andre",0.774305556,"maize","8321-21",4.392543,11.901889,0.003771301,0.026500334,0.359911118
"20","Andre",0.336805556,"sorghum","KSY-15",4.392543,11.901889,0.003771301,0.026500334,0.359911118
"21","Andre",0.434027778,"sorghum","SRN-4841",4.392543,11.901889,0.003771301,0.026500334,0.359911118
