X,locality,emergence,host,host.gen,lat,lon,millet.spec,sorghum.spec,ENM_a_m50km,ENM_a_s50km
1,AbuNaama,0.619298246,sorghum,IS-5603,12.715261,34.114744,0,1,0.212146296,-0.292158247
2,AbuNaama,0.294736842,sorghum,SRN-4841,12.715261,34.114744,0,1,0.212146296,-0.292158247
3,AbuNaama,0.877192982,sorghum,N-13,12.715261,34.114744,0,1,0.212146296,-0.292158247
4,AbuNaama,0.745614035,sorghum,CK-60B,12.715261,34.114744,0,1,0.212146296,-0.292158247
5,AbuNaama,1,sorghum,1202B,12.715261,34.114744,0,1,0.212146296,-0.292158247
6,AbuNaama,0.961403509,sorghum,2219B,12.715261,34.114744,0,1,0.212146296,-0.292158247
7,AbuNaama,0.145614035,millet,B-282,12.715261,34.114744,0,1,0.212146296,-0.292158247
8,AbuNaama,0.180701754,millet,Ex-Bomu,12.715261,34.114744,0,1,0.212146296,-0.292158247
9,AbuNaama,0.198245614,millet,J-104,12.715261,34.114744,0,1,0.212146296,-0.292158247
10,AbuNaama,0.136842105,millet,D2-Comp,12.715261,34.114744,0,1,0.212146296,-0.292158247
11,AbuNaama,0.452631579,millet,CIVT-II,12.715261,34.114744,0,1,0.212146296,-0.292158247
12,AbuNaama,0.171929825,maize,D-771,12.715261,34.114744,0,1,0.212146296,-0.292158247
13,AbuNaama,0.114035088,maize,Diara,12.715261,34.114744,0,1,0.212146296,-0.292158247
14,AbuNaama,0.133333333,maize,Syn-B23,12.715261,34.114744,0,1,0.212146296,-0.292158247
15,AbuNaama,0.157894737,maize,L-4,12.715261,34.114744,0,1,0.212146296,-0.292158247
16,Andre,0.3125,maize,8322-13,11.901889,4.392543,0,1,0.049713912,0.026396696
17,Andre,0.270833333,maize,8425-8,11.901889,4.392543,0,1,0.049713912,0.026396696
18,Andre,1,maize,8338-1,11.901889,4.392543,0,1,0.049713912,0.026396696
19,Andre,0.774305556,maize,8321-21,11.901889,4.392543,0,1,0.049713912,0.026396696
20,Andre,0.336805556,sorghum,KSY-15,11.901889,4.392543,0,1,0.049713912,0.026396696
21,Andre,0.434027778,sorghum,SRN-4841,11.901889,4.392543,0,1,0.049713912,0.026396696
22,Andre,0.017361111,millet,SE302,11.901889,4.392543,0,1,0.049713912,0.026396696
23,Andre,0.027777778,millet,SE2124,11.901889,4.392543,0,1,0.049713912,0.026396696
24,Bakura,0.872093023,maize,8322-13,12.705986,5.871866,1,0,-0.128759661,-0.067068609
25,Bakura,0.970930233,maize,8425-8,12.705986,5.871866,1,0,-0.128759661,-0.067068609
26,Bakura,0.941860465,maize,8338-1,12.705986,5.871866,1,0,-0.128759661,-0.067068609
27,Bakura,1,maize,8321-21,12.705986,5.871866,1,0,-0.128759661,-0.067068609
28,Bakura,0.88372093,sorghum,KSY-15,12.705986,5.871866,1,0,-0.128759661,-0.067068609
29,Bakura,0.534883721,sorghum,SRN-4841,12.705986,5.871866,1,0,-0.128759661,-0.067068609
30,Bakura,0.813953488,millet,SE302,12.705986,5.871866,1,0,-0.128759661,-0.067068609
31,Bakura,0.784883721,millet,SE2124,12.705986,5.871866,1,0,-0.128759661,-0.067068609
32,Bambey,0.056156156,sorghum,IS-2652,14.698908,-16.456983,1,0,-0.33083789,0.272068377
33,Bambey,0.011111111,sorghum,IS-3469,14.698908,-16.456983,1,0,-0.33083789,0.272068377
34,Bambey,0.36036036,sorghum,IS-9289,14.698908,-16.456983,1,0,-0.33083789,0.272068377
35,Bambey,0.144144144,sorghum,DFF-2123,14.698908,-16.456983,1,0,-0.33083789,0.272068377
36,Bambey,0.858858859,millet,Ex-Tukur,14.698908,-16.456983,1,0,-0.33083789,0.272068377
37,Bambey,1,millet,Ex-Mokwa,14.698908,-16.456983,1,0,-0.33083789,0.272068377
38,Bambey,0.115015015,maize,NigCompB,14.698908,-16.456983,1,0,-0.33083789,0.272068377
39,Bambey,0.047447447,maize,BiuYellowXC-10,14.698908,-16.456983,1,0,-0.33083789,0.272068377
40,Bida,0.492424242,maize,8322-13,9.081794,6.005702,0,1,0.079031268,-0.071569093
41,Bida,1,maize,8425-8,9.081794,6.005702,0,1,0.079031268,-0.071569093
42,Bida,0.590909091,maize,8338-1,9.081794,6.005702,0,1,0.079031268,-0.071569093
43,Bida,0.704545455,maize,8321-21,9.081794,6.005702,0,1,0.079031268,-0.071569093
44,Bida,0.439393939,sorghum,KSY-15,9.081794,6.005702,0,1,0.079031268,-0.071569093
45,Bida,0.340909091,sorghum,SRN-4841,9.081794,6.005702,0,1,0.079031268,-0.071569093
46,Bida,0,millet,SE302,9.081794,6.005702,0,1,0.079031268,-0.071569093
47,Bida,0,millet,SE2124,9.081794,6.005702,0,1,0.079031268,-0.071569093
48,Busia,0.52240566,sorghum,IS-5603,0.458835,34.10946,0,1,0.221808087,0.078018295
49,Busia,0.375,sorghum,SRN-4841,0.458835,34.10946,0,1,0.221808087,0.078018295
50,Busia,0.377358491,sorghum,N-13,0.458835,34.10946,0,1,0.221808087,0.078018295
51,Busia,0.503537736,sorghum,CK-60B,0.458835,34.10946,0,1,0.221808087,0.078018295
52,Busia,0.9375,sorghum,1202B,0.458835,34.10946,0,1,0.221808087,0.078018295
53,Busia,0.666273585,sorghum,2219B,0.458835,34.10946,0,1,0.221808087,0.078018295
54,Busia,0.071933962,millet,B-282,0.458835,34.10946,0,1,0.221808087,0.078018295
55,Busia,0.071933962,millet,Ex-Bomu,0.458835,34.10946,0,1,0.221808087,0.078018295
56,Busia,0.108490566,millet,J-104,0.458835,34.10946,0,1,0.221808087,0.078018295
57,Busia,0.071933962,millet,D2-Comp,0.458835,34.10946,0,1,0.221808087,0.078018295
58,Busia,0.071933962,millet,CIVT-II,0.458835,34.10946,0,1,0.221808087,0.078018295
59,Busia,0.431603774,maize,D-771,0.458835,34.10946,0,1,0.221808087,0.078018295
60,Busia,1,maize,Diara,0.458835,34.10946,0,1,0.221808087,0.078018295
61,Busia,0.599056604,maize,Syn-B23,0.458835,34.10946,0,1,0.221808087,0.078018295
62,Busia,0.794811321,maize,L-4,0.458835,34.10946,0,1,0.221808087,0.078018295
63,Damaturu,0.85,maize,8322-13,11.74704,11.964497,1,0,-0.061322952,0.055202303
64,Damaturu,0.85,maize,8425-8,11.74704,11.964497,1,0,-0.061322952,0.055202303
65,Damaturu,1,maize,8338-1,11.74704,11.964497,1,0,-0.061322952,0.055202303
66,Damaturu,0.727272727,maize,8321-21,11.74704,11.964497,1,0,-0.061322952,0.055202303
67,Damaturu,0.240909091,sorghum,KSY-15,11.74704,11.964497,1,0,-0.061322952,0.055202303
68,Damaturu,0.5,sorghum,SRN-4841,11.74704,11.964497,1,0,-0.061322952,0.055202303
69,Damaturu,0.65,millet,SE302,11.74704,11.964497,1,0,-0.061322952,0.055202303
70,Damaturu,0.445454545,millet,SE2124,11.74704,11.964497,1,0,-0.061322952,0.055202303
71,FarakoBa,0.894576012,sorghum,IS-5603,11.164901,-4.305229,0,1,0.130745094,0.025217954
72,FarakoBa,0.179526356,sorghum,SRN-4841,11.164901,-4.305229,0,1,0.130745094,0.025217954
73,FarakoBa,0.239877769,sorghum,N-13,11.164901,-4.305229,0,1,0.130745094,0.025217954
74,FarakoBa,0.888464477,sorghum,CK-60B,11.164901,-4.305229,0,1,0.130745094,0.025217954
75,FarakoBa,1,sorghum,1202B,11.164901,-4.305229,0,1,0.130745094,0.025217954
76,FarakoBa,0.566080978,sorghum,2219B,11.164901,-4.305229,0,1,0.130745094,0.025217954
77,FarakoBa,0.550038197,millet,B-282,11.164901,-4.305229,0,1,0.130745094,0.025217954
78,FarakoBa,0.48433919,millet,Ex-Bomu,11.164901,-4.305229,0,1,0.130745094,0.025217954
79,FarakoBa,0.453017571,millet,J-104,11.164901,-4.305229,0,1,0.130745094,0.025217954
80,FarakoBa,0.555385791,millet,D2-Comp,11.164901,-4.305229,0,1,0.130745094,0.025217954
81,FarakoBa,0.400305577,millet,CIVT-II,11.164901,-4.305229,0,1,0.130745094,0.025217954
82,FarakoBa,0.147440794,maize,D-771,11.164901,-4.305229,0,1,0.130745094,0.025217954
83,FarakoBa,0.067990833,maize,Diara,11.164901,-4.305229,0,1,0.130745094,0.025217954
84,FarakoBa,0.289533995,maize,Syn-B23,11.164901,-4.305229,0,1,0.130745094,0.025217954
85,FarakoBa,0.168831169,maize,L-4,11.164901,-4.305229,0,1,0.130745094,0.025217954
86,Galadima,0.515695067,maize,8322-13,11.822651,13.154291,1,0,-0.004302852,0.093919725
87,Galadima,0.97309417,maize,8425-8,11.822651,13.154291,1,0,-0.004302852,0.093919725
88,Galadima,0.874439462,maize,8338-1,11.822651,13.154291,1,0,-0.004302852,0.093919725
89,Galadima,1,maize,8321-21,11.822651,13.154291,1,0,-0.004302852,0.093919725
90,Galadima,0.282511211,sorghum,KSY-15,11.822651,13.154291,1,0,-0.004302852,0.093919725
91,Galadima,0.547085202,sorghum,SRN-4841,11.822651,13.154291,1,0,-0.004302852,0.093919725
92,Galadima,0.434977578,millet,SE302,11.822651,13.154291,1,0,-0.004302852,0.093919725
93,Galadima,0.865470852,millet,SE2124,11.822651,13.154291,1,0,-0.004302852,0.093919725
94,Gombe,0.806896552,maize,8322-13,10.282907,11.170659,0,1,0.066596967,-0.124070187
95,Gombe,1,maize,8425-8,10.282907,11.170659,0,1,0.066596967,-0.124070187
96,Gombe,0.862068966,maize,8338-1,10.282907,11.170659,0,1,0.066596967,-0.124070187
97,Gombe,0.779310345,maize,8321-21,10.282907,11.170659,0,1,0.066596967,-0.124070187
98,Gombe,0.517241379,sorghum,KSY-15,10.282907,11.170659,0,1,0.066596967,-0.124070187
99,Gombe,0.468965517,sorghum,SRN-4841,10.282907,11.170659,0,1,0.066596967,-0.124070187
100,Gombe,0.013793103,millet,SE302,10.282907,11.170659,0,1,0.066596967,-0.124070187
101,Gombe,0.068965517,millet,SE2124,10.282907,11.170659,0,1,0.066596967,-0.124070187
102,Gumi,1,maize,8322-13,12.130529,5.11558,0,1,0.041525995,-0.008743141
103,Gumi,0.794871795,maize,8425-8,12.130529,5.11558,0,1,0.041525995,-0.008743141
104,Gumi,0.605128205,maize,8338-1,12.130529,5.11558,0,1,0.041525995,-0.008743141
105,Gumi,0.553846154,maize,8321-21,12.130529,5.11558,0,1,0.041525995,-0.008743141
106,Gumi,0.907692308,sorghum,KSY-15,12.130529,5.11558,0,1,0.041525995,-0.008743141
107,Gumi,0.220512821,sorghum,SRN-4841,12.130529,5.11558,0,1,0.041525995,-0.008743141
108,Gumi,0.01025641,millet,SE302,12.130529,5.11558,0,1,0.041525995,-0.008743141
109,Gumi,0.025641026,millet,SE2124,12.130529,5.11558,0,1,0.041525995,-0.008743141
110,Gwoza,0.807142857,maize,8322-13,11.077483,13.695827,0,1,0.091754395,-0.024910174
111,Gwoza,1,maize,8425-8,11.077483,13.695827,0,1,0.091754395,-0.024910174
112,Gwoza,0.907142857,maize,8338-1,11.077483,13.695827,0,1,0.091754395,-0.024910174
113,Gwoza,0.928571429,maize,8321-21,11.077483,13.695827,0,1,0.091754395,-0.024910174
114,Gwoza,0.95,sorghum,KSY-15,11.077483,13.695827,0,1,0.091754395,-0.024910174
115,Gwoza,0.514285714,sorghum,SRN-4841,11.077483,13.695827,0,1,0.091754395,-0.024910174
116,Gwoza,0.228571429,millet,SE302,11.077483,13.695827,0,1,0.091754395,-0.024910174
117,Gwoza,0,millet,SE2124,11.077483,13.695827,0,1,0.091754395,-0.024910174
118,Jibiya,0.368,maize,8322-13,12.867239,7.061331,0,1,-0.159169267,-0.07636758
119,Jibiya,0.488,maize,8425-8,12.867239,7.061331,0,1,-0.159169267,-0.07636758
120,Jibiya,1,maize,8338-1,12.867239,7.061331,0,1,-0.159169267,-0.07636758
121,Jibiya,0.448,maize,8321-21,12.867239,7.061331,0,1,-0.159169267,-0.07636758
122,Jibiya,0.292,sorghum,KSY-15,12.867239,7.061331,0,1,-0.159169267,-0.07636758
123,Jibiya,0.212,sorghum,SRN-4841,12.867239,7.061331,0,1,-0.159169267,-0.07636758
124,Jibiya,0,millet,SE302,12.867239,7.061331,0,1,-0.159169267,-0.07636758
125,Jibiya,0,millet,SE2124,12.867239,7.061331,0,1,-0.159169267,-0.07636758
126,Kamboinse,0.336565097,sorghum,IS-5603,12.461239,-1.552899,0,1,0.07699271,0.034899362
127,Kamboinse,0.602493075,sorghum,SRN-4841,12.461239,-1.552899,0,1,0.07699271,0.034899362
128,Kamboinse,0.232686981,sorghum,N-13,12.461239,-1.552899,0,1,0.07699271,0.034899362
129,Kamboinse,1,sorghum,CK-60B,12.461239,-1.552899,0,1,0.07699271,0.034899362
130,Kamboinse,0.677285319,sorghum,1202B,12.461239,-1.552899,0,1,0.07699271,0.034899362
131,Kamboinse,0.691135734,sorghum,2219B,12.461239,-1.552899,0,1,0.07699271,0.034899362
132,Kamboinse,0.127423823,millet,B-282,12.461239,-1.552899,0,1,0.07699271,0.034899362
133,Kamboinse,0.084487535,millet,Ex-Bomu,12.461239,-1.552899,0,1,0.07699271,0.034899362
134,Kamboinse,0.084487535,millet,J-104,12.461239,-1.552899,0,1,0.07699271,0.034899362
135,Kamboinse,0.391966759,millet,D2-Comp,12.461239,-1.552899,0,1,0.07699271,0.034899362
136,Kamboinse,0.127423823,millet,CIVT-II,12.461239,-1.552899,0,1,0.07699271,0.034899362
137,Kamboinse,0.084487535,maize,D-771,12.461239,-1.552899,0,1,0.07699271,0.034899362
138,Kamboinse,0.110803324,maize,Diara,12.461239,-1.552899,0,1,0.07699271,0.034899362
139,Kamboinse,0.110803324,maize,Syn-B23,12.461239,-1.552899,0,1,0.07699271,0.034899362
140,Kamboinse,0.110803324,maize,L-4,12.461239,-1.552899,0,1,0.07699271,0.034899362
141,Kankia,0.337837838,maize,8322-13,12.427128,7.783579,0,1,-0.079738265,-0.127875608
142,Kankia,0.382882883,maize,8425-8,12.427128,7.783579,0,1,-0.079738265,-0.127875608
143,Kankia,1,maize,8338-1,12.427128,7.783579,0,1,-0.079738265,-0.127875608
144,Kankia,0.666666667,maize,8321-21,12.427128,7.783579,0,1,-0.079738265,-0.127875608
145,Kankia,0.527027027,sorghum,KSY-15,12.427128,7.783579,0,1,-0.079738265,-0.127875608
146,Kankia,0.346846847,sorghum,SRN-4841,12.427128,7.783579,0,1,-0.079738265,-0.127875608
